Batch Size,Seq Length,flashattn,flashinfer,Speedup
1,1,13.947784900665283,10.396428406238556,1.3415938970248353
1,2,13.84533941745758,10.259933769702911,1.3494569973094952
1,4,13.535618782043457,10.276958346366882,1.3170841338311525
1,8,13.680681586265564,8.839592337608337,1.5476597860809318
1,16,13.90065997838974,8.780211210250854,1.5831805916195711
1,32,13.647526502609253,8.668974041938782,1.57429546294466
1,64,13.286657631397247,8.746124804019928,1.5191479574234275
1,128,13.46837729215622,8.604191243648529,1.5653275143202274
1,256,18.92484724521637,13.557672500610352,1.3958772971071838
1,512,18.779337406158447,13.564079999923706,1.3844903160600701
1,1024,18.618404865264893,13.855695724487305,1.343736556826981
1,2048,21.02058380842209,21.845251321792603,0.962249575378067
1,4096,26.301853358745575,21.09561115503311,1.2467926700701595
1,8192,40.721818804740906,35.411156713962555,1.1499714379192918
1,16384,75.6433978676796,69.0310075879097,1.0957886971495983
1,32768,131.85296207666397,119.82399970293045,1.1003885899615764
2,1,13.388209044933319,8.775703608989716,1.5255995007874483
2,2,13.314634561538696,9.053274989128113,1.4706981260955798
2,4,13.419687747955322,8.800216019153595,1.5249270834656203
2,8,13.266578316688538,8.965916931629181,1.4796677704973886
2,16,13.318546116352081,8.58694314956665,1.5510229757401173
2,32,13.353228569030762,8.88880342245102,1.5022526581366011
2,64,13.66443932056427,8.888393640518188,1.5373350768663347
2,128,13.678260147571564,9.030885994434357,1.5146088828938087
2,256,18.821731209754944,13.891272246837616,1.3549321383460584
2,512,18.21763813495636,14.054812490940094,1.296185071604454
2,1024,19.327402114868164,17.881058156490326,1.080886933296666
2,2048,24.304986000061035,21.18077129125595,1.1475024051694875
2,4096,39.52968865633011,35.943128168582916,1.099784316794166
2,8192,72.38559424877167,70.72851061820984,1.023428792944711
2,16384,128.56073677539825,122.64899909496306,1.0482004559683193
2,32768,233.95858705043793,223.47096353769302,1.0469305870736803
4,1,13.482756912708282,8.778795599937439,1.5358321946582703
4,2,13.533085584640503,8.821934461593628,1.534026991875412
4,4,13.27604055404663,9.013786911964417,1.4728593746125427
4,8,13.263151049613953,8.798427879810333,1.5074455608198798
4,16,13.30602914094925,8.67500901222229,1.5338346187539722
4,32,13.321228325366974,8.732937276363373,1.5254006646105545
4,64,13.64484429359436,8.699893951416016,1.5683920252123869
4,128,13.362951576709747,8.962005376815796,1.4910671233560018
4,256,18.340982496738434,14.471746981143951,1.2673647846825906
4,512,18.523968756198883,18.152110278606415,1.0204856885444735
4,1024,23.522377014160156,21.38584852218628,1.099903844813891
4,2048,41.73833876848221,38.51782530546188,1.0836109888728234
4,4096,72.18565791845322,72.23237305879593,0.9993532658783799
4,8192,125.95877051353456,121.13343924283981,1.0398348408239384
4,16384,230.1868051290512,223.9878848195076,1.0276752482150486
4,32768,438.5337606072426,423.1126978993416,1.0364467026975628
8,1,13.45515251159668,9.176209568977356,1.4663083281233509
8,2,13.55249434709549,8.975453674793243,1.5099508992126442
8,4,13.663507997989655,8.887499570846558,1.5373849403953526
8,8,13.716667890548706,9.056292474269867,1.5146008070653179
8,16,13.582147657871246,8.916519582271576,1.5232566398302072
8,32,13.417862355709076,9.036585688591003,1.4848376165623687
8,64,13.435184955596924,9.075924754142761,1.480310306612486
8,128,13.874880969524384,9.437091648578644,1.4702496792657653
8,256,19.02509480714798,18.951036036014557,1.0039079009185927
8,512,23.208260536193848,21.935589611530304,1.058018541885675
8,1024,39.89025950431824,41.510798037052155,0.9609610364202721
8,2048,73.70270788669586,72.23889231681824,1.0202635384199659
8,4096,127.04711407423018,122.6789504289627,1.0356064641080938
8,8192,232.41940885782242,224.9450981616974,1.0332272663739144
8,16384,436.58584356307983,425.0511899590492,1.0271370928408456
8,32768,851.5342697501183,760.6393098831177,1.1194981099267243
16,1,13.491995632648468,11.516660451889038,1.1715197898741057
16,2,13.44967633485794,11.513829231262207,1.1681323445669618
16,4,13.48838210105896,11.542253196239471,1.1686090983910793
16,8,13.7411430478096,11.565163731575012,1.1881494604606218
16,16,13.499967753887177,11.595450341701508,1.1642469551472547
16,32,13.428442180156708,11.716708540916443,1.146093387341901
16,64,13.74363899230957,12.418776750564575,1.1066821852389581
16,128,14.043077826499939,13.273358345031738,1.0579898064574071
16,256,16.818195581436157,16.42651855945587,1.023844189537948
16,512,41.77160561084747,32.21888095140457,1.2964946136351285
16,1024,74.46847856044769,69.0494105219841,1.0784810181216282
16,2048,132.78253376483917,122.20006436109543,1.0865995403445372
16,4096,235.72124540805817,227.18261927366257,1.0375848564546657
16,8192,441.26860797405243,407.0959985256195,1.0839423860028001
16,16384,778.3298939466476,797.8847995400429,0.9754915676991615
16,32768,1532.9357236623764,1577.3847326636314,0.9718210731466909
32,1,14.376342296600342,17.16259866952896,0.8376553325880987
32,2,14.373958110809326,17.134808003902435,0.8388747692729134
32,4,14.513954520225525,17.388202250003815,0.8347012711001991
32,8,14.660172164440155,17.439424991607666,0.8406339183485142
